sample_id,filename,integrity_label,target,manipulation_type,affected_interval_s,av_shift_s,duration_s,provenance,generator,benchmark_eligible
clean_sync_01,samples/clean_sync_01.mp4,control,0,clean_sync,none,0.0,5.0,project-owned AI-generated fictional identity; locally animated and transformed; no real source person or recording,approvalguard-synthetic-identity-v2,no
clean_sync_02,samples/clean_sync_02.mp4,control,0,clean_sync,none,0.0,5.0,project-owned AI-generated fictional identity; locally animated and transformed; no real source person or recording,approvalguard-synthetic-identity-v2,no
clean_sync_03,samples/clean_sync_03.mp4,control,0,clean_sync,none,0.0,5.0,project-owned AI-generated fictional identity; locally animated and transformed; no real source person or recording,approvalguard-synthetic-identity-v2,no
clean_sync_04,samples/clean_sync_04.mp4,control,0,clean_sync,none,0.0,5.0,project-owned AI-generated fictional identity; locally animated and transformed; no real source person or recording,approvalguard-synthetic-identity-v2,no
clean_sync_05,samples/clean_sync_05.mp4,control,0,clean_sync,none,0.0,5.0,project-owned AI-generated fictional identity; locally animated and transformed; no real source person or recording,approvalguard-synthetic-identity-v2,no
clean_sync_06,samples/clean_sync_06.mp4,control,0,clean_sync,none,0.0,5.0,project-owned AI-generated fictional identity; locally animated and transformed; no real source person or recording,approvalguard-synthetic-identity-v2,no
audio_replaced_01,samples/audio_replaced_01.mp4,manipulated,1,audio_replaced,0.0-5.0,0.0,5.0,project-owned AI-generated fictional identity; locally animated and transformed; no real source person or recording,approvalguard-synthetic-identity-v2,no
audio_replaced_02,samples/audio_replaced_02.mp4,manipulated,1,audio_replaced,0.0-5.0,0.0,5.0,project-owned AI-generated fictional identity; locally animated and transformed; no real source person or recording,approvalguard-synthetic-identity-v2,no
audio_replaced_03,samples/audio_replaced_03.mp4,manipulated,1,audio_replaced,0.0-5.0,0.0,5.0,project-owned AI-generated fictional identity; locally animated and transformed; no real source person or recording,approvalguard-synthetic-identity-v2,no
audio_replaced_04,samples/audio_replaced_04.mp4,manipulated,1,audio_replaced,0.0-5.0,0.0,5.0,project-owned AI-generated fictional identity; locally animated and transformed; no real source person or recording,approvalguard-synthetic-identity-v2,no
audio_replaced_05,samples/audio_replaced_05.mp4,manipulated,1,audio_replaced,0.0-5.0,0.0,5.0,project-owned AI-generated fictional identity; locally animated and transformed; no real source person or recording,approvalguard-synthetic-identity-v2,no
audio_replaced_06,samples/audio_replaced_06.mp4,manipulated,1,audio_replaced,0.0-5.0,0.0,5.0,project-owned AI-generated fictional identity; locally animated and transformed; no real source person or recording,approvalguard-synthetic-identity-v2,no
video_tampered_01,samples/video_tampered_01.mp4,manipulated,1,video_tampered,1.6-3.1,0.0,5.0,project-owned AI-generated fictional identity; locally animated and transformed; no real source person or recording,approvalguard-synthetic-identity-v2,no
video_tampered_02,samples/video_tampered_02.mp4,manipulated,1,video_tampered,1.6-3.1,0.0,5.0,project-owned AI-generated fictional identity; locally animated and transformed; no real source person or recording,approvalguard-synthetic-identity-v2,no
video_tampered_03,samples/video_tampered_03.mp4,manipulated,1,video_tampered,1.6-3.1,0.0,5.0,project-owned AI-generated fictional identity; locally animated and transformed; no real source person or recording,approvalguard-synthetic-identity-v2,no
video_tampered_04,samples/video_tampered_04.mp4,manipulated,1,video_tampered,1.6-3.1,0.0,5.0,project-owned AI-generated fictional identity; locally animated and transformed; no real source person or recording,approvalguard-synthetic-identity-v2,no
video_tampered_05,samples/video_tampered_05.mp4,manipulated,1,video_tampered,1.6-3.1,0.0,5.0,project-owned AI-generated fictional identity; locally animated and transformed; no real source person or recording,approvalguard-synthetic-identity-v2,no
video_tampered_06,samples/video_tampered_06.mp4,manipulated,1,video_tampered,1.6-3.1,0.0,5.0,project-owned AI-generated fictional identity; locally animated and transformed; no real source person or recording,approvalguard-synthetic-identity-v2,no
av_desync_01,samples/av_desync_01.mp4,manipulated,1,av_desync,0.0-5.0,0.66,5.0,project-owned AI-generated fictional identity; locally animated and transformed; no real source person or recording,approvalguard-synthetic-identity-v2,no
av_desync_02,samples/av_desync_02.mp4,manipulated,1,av_desync,0.0-5.0,0.77,5.0,project-owned AI-generated fictional identity; locally animated and transformed; no real source person or recording,approvalguard-synthetic-identity-v2,no
av_desync_03,samples/av_desync_03.mp4,manipulated,1,av_desync,0.0-5.0,0.88,5.0,project-owned AI-generated fictional identity; locally animated and transformed; no real source person or recording,approvalguard-synthetic-identity-v2,no
av_desync_04,samples/av_desync_04.mp4,manipulated,1,av_desync,0.0-5.0,0.99,5.0,project-owned AI-generated fictional identity; locally animated and transformed; no real source person or recording,approvalguard-synthetic-identity-v2,no
av_desync_05,samples/av_desync_05.mp4,manipulated,1,av_desync,0.0-5.0,1.1,5.0,project-owned AI-generated fictional identity; locally animated and transformed; no real source person or recording,approvalguard-synthetic-identity-v2,no
av_desync_06,samples/av_desync_06.mp4,manipulated,1,av_desync,0.0-5.0,1.21,5.0,project-owned AI-generated fictional identity; locally animated and transformed; no real source person or recording,approvalguard-synthetic-identity-v2,no
